Mark,Jalalon,02/15/2008,14,Male,09996548712,markj@gmail.com,Bacoor,Cavite,Philippines
Chim,Park,11/02/1999,24,Female,32145698732,park_chimi@gmail.com,Jung-gu,Seoul,South Korea
Nikie,Cheng,09/18/1999,20,Female,69584723610,niki08@gmail.com,Changsha,Hunan,China
Aina,Santos,06/15/1996,26,Prefer Not to Say,09556348251,santos.aina@gmail.com,Lipa,Batangas,Philippines
Josh,Cullen,07/23/2000,22,Male,351264,cullen_josh_23@gmail.com,Miami,Florida,USA
Freen,Sarocha,08/08/1998,24,Male,48591627,srchfreen@outlook.com,Nakhon Chai Si,Nakhon Pathom,Thailand
Rebecca,Armstrong,12/05/2002,20,Female,48512367,beckyarmstrong@outlook.com,Nakhon Chai Si,Nakhon Pathom,Thailand
Tomiko,Mai,01/30/2001,21,Prefer Not to Say,45612799,moetomi130@gmail.com,Otaru,Hokkaido,Japan
Francine,Javier,03/05/1997,25,Female,09658426248,f_javier@gmail.com,San Fernando,Pampanga,Philippines
Charles,Punzalan,05/21/2002,20,Male,09174285748,punzalancharles21@gmail.com,Sta. Rosa,Laguna,Philippines
